DATE,NAME,WATER_INJECTION_VOLUME,SECTOR,ZONE,SUBZONE,WELL_TYPE
02/03/2020,I5,1135.0,1,WARA,WARA1,Injector
02/04/2020,I5,996.0,1,WARA,WARA1,Injector
02/05/2020,I5,1202.0,1,WARA,WARA1,Injector
02/06/2020,I5,1179.0,1,WARA,WARA1,Injector
02/07/2020,I5,1239.0,1,WARA,WARA1,Injector
02/08/2020,I5,1253.0,1,WARA,WARA1,Injector
02/09/2020,I5,214.419,1,WARA,WARA1,Injector
02/10/2020,I5,817.433,1,WARA,WARA1,Injector
02/11/2020,I5,1435.97,1,WARA,WARA1,Injector
02/12/2020,I5,2206.9,1,WARA,WARA1,Injector
02/01/2021,I5,1952.65,1,WARA,WARA1,Injector
02/02/2021,I5,1360.52,1,WARA,WARA1,Injector
02/03/2021,I5,1194.0,1,WARA,WARA1,Injector
02/04/2021,I5,997.548,1,WARA,WARA1,Injector
02/05/2021,I5,1240.0,1,WARA,WARA1,Injector
02/06/2021,I5,1273.0,1,WARA,WARA1,Injector
02/07/2021,I5,1110.0,1,WARA,WARA1,Injector
02/08/2021,I5,1084.0,1,WARA,WARA1,Injector
02/09/2021,I5,1276.26,1,WARA,WARA1,Injector
02/10/2021,I5,1224.0,1,WARA,WARA1,Injector
